[s]	[mv]	[s]	[mv]	[s]	[mv]	[s]	[mv]	[s]	[mv]		[s]	v	[s]	v	[s]	v	[s]	v	[s]	v
0.0086	-61.461	0.0086	-58.763	0.0086	-55.243	0.0086	-58.145	0.0086	-52.705		0.08600000000000001	-1.8125	0.08600000000000001	-1.8125	0.08600000000000001	-1.8125	0.08600000000000001	-1.8125	0.08600000000000001	-1.8125
0.008700000000000001	-61.409	0.008700000000000001	-58.635	0.008700000000000001	-55.285	0.008700000000000001	-58.069	0.008700000000000001	-52.754		0.08700000000000001	-1.8125	0.08700000000000001	-1.8125	0.08700000000000001	-1.8125	0.08700000000000001	-1.8125	0.08700000000000001	-1.8125
0.0088	-61.409	0.0088	-58.704	0.0088	-55.358	0.0088	-58.063	0.0088	-52.662		0.088	-1.8125	0.088	-1.8125	0.088	-1.8125	0.088	-1.8125	0.088	-1.8125
0.0089	-61.389	0.0089	-58.71	0.0089	-55.328	0.0089	-58.082	0.0089	-52.744		0.089	-1.8125	0.089	-1.8125	0.089	-1.8125	0.089	-1.8125	0.089	-1.8125
0.009000000000000001	-61.333	0.009000000000000001	-58.677	0.009000000000000001	-55.292	0.009000000000000001	-58.059	0.009000000000000001	-52.689		0.09	-1.8125	0.09	-1.8125	0.09	-1.8125	0.09	-1.8125	0.09	-1.8125
0.0091	-61.386	0.0091	-58.664	0.0091	-55.381	0.0091	-58.076	0.0091	-52.718		0.091	-1.8125	0.091	-1.8125	0.091	-1.8125	0.091	-1.8125	0.091	-1.8125
0.0092	-61.468	0.0092	-58.714	0.0092	-55.275	0.0092	-58.036	0.0092	-52.725		0.092	-1.8125	0.092	-1.8125	0.092	-1.8125	0.092	-1.8125	0.092	-1.8125
0.009300000000000001	-61.425	0.009300000000000001	-58.76	0.009300000000000001	-55.331	0.009300000000000001	-58.115	0.009300000000000001	-52.761		0.093	-1.8125	0.093	-1.8125	0.093	-1.8125	0.093	-1.8125	0.093	-1.8125
0.0094	-61.415	0.0094	-58.674	0.0094	-55.341	0.0094	-58.007	0.0094	-52.758		0.094	-1.8125	0.094	-1.8125	0.094	-1.8125	0.094	-1.8125	0.094	-1.8125
0.0095	-61.409	0.0095	-58.717	0.0095	-55.298	0.0095	-58.027	0.0095	-52.685		0.095	-1.8125	0.095	-1.8125	0.095	-1.8125	0.095	-1.8125	0.095	-1.8125
0.009600000000000001	-61.488	0.009600000000000001	-58.74	0.009600000000000001	-55.315	0.009600000000000001	-58.079	0.009600000000000001	-52.692		0.096	-1.8125	0.096	-1.8125	0.096	-1.8125	0.096	-1.8125	0.096	-1.8125
0.0097	-61.389	0.0097	-58.635	0.0097	-55.295	0.0097	-58.05	0.0097	-52.652		0.097	-1.8125	0.097	-1.8125	0.097	-1.8125	0.097	-1.8125	0.097	-1.8125
0.0098	-61.478	0.0098	-58.661	0.0098	-55.331	0.0098	-58.03	0.0098	-52.656		0.098	-1.8125	0.098	-1.8125	0.098	-1.8125	0.098	-1.8125	0.098	-1.8125
0.0099	-61.475	0.0099	-58.687	0.0099	-55.302	0.0099	-58.076	0.0099	-52.606		0.099	-1.8125	0.099	-1.8125	0.099	-1.8125	0.099	-1.8125	0.099	-1.8125
0.01	-61.527	0.01	-58.769	0.01	-55.344	0.01	-58.109	0.01	-52.547		0.1	-1.8125	0.1	-1.8125	0.1	-1.8125	0.1	-1.8125	0.1	-1.8125
0.010100000000000001	-61.609	0.010100000000000001	-58.651	0.010100000000000001	-55.351	0.010100000000000001	-58.138	0.010100000000000001	-52.57		0.101	-1.8125	0.101	-1.8125	0.101	-1.8125	0.101	-1.8125	0.101	-1.8125
0.0102	-61.554	0.0102	-58.763	0.0102	-55.354	0.0102	-58.036	0.0102	-52.587		0.10200000000000001	-1.8125	0.10200000000000001	-1.8125	0.10200000000000001	-1.8125	0.10200000000000001	-1.8125	0.10200000000000001	-1.8125
0.0103	-61.623	0.0103	-58.746	0.0103	-55.397	0.0103	-58.089	0.0103	-52.531		0.10300000000000001	-1.8125	0.10300000000000001	-1.8125	0.10300000000000001	-1.8125	0.10300000000000001	-1.8125	0.10300000000000001	-1.8125
0.010400000000000001	-61.655	0.010400000000000001	-58.74	0.010400000000000001	-55.331	0.010400000000000001	-58.082	0.010400000000000001	-52.646		0.10400000000000001	-1.8125	0.10400000000000001	-1.8125	0.10400000000000001	-1.8125	0.10400000000000001	-1.8125	0.10400000000000001	-1.8125
0.0105	-61.626	0.0105	-58.651	0.0105	-55.325	0.0105	-58.059	0.0105	-52.59		0.105	-1.8125	0.105	-1.8125	0.105	-1.8125	0.105	-1.8125	0.105	-1.8125
0.0106	-61.616	0.0106	-58.615	0.0106	-55.417	0.0106	-58.076	0.0106	-52.57		0.106	-1.8125	0.106	-1.8125	0.106	-1.8125	0.106	-1.8125	0.106	-1.8125
0.010700000000000001	-61.573	0.010700000000000001	-58.668	0.010700000000000001	-55.249	0.010700000000000001	-58.02	0.010700000000000001	-52.56		0.107	-1.8125	0.107	-1.8125	0.107	-1.8125	0.107	-1.8125	0.107	-1.8125
0.0108	-61.639	0.0108	-58.648	0.0108	-55.266	0.0108	-57.935	0.0108	-52.56		0.108	-1.8125	0.108	-1.8125	0.108	-1.8125	0.108	-1.8125	0.108	-1.8125
0.0109	-61.629	0.0109	-58.661	0.0109	-55.236	0.0109	-57.99	0.0109	-52.626		0.109	-1.8125	0.109	-1.8125	0.109	-1.8125	0.109	-1.8125	0.109	-1.8125
0.011000000000000001	-61.692	0.011000000000000001	-58.615	0.011000000000000001	-55.325	0.011000000000000001	-58.056	0.011000000000000001	-52.623		0.11	-1.8125	0.11	-1.8125	0.11	-1.8125	0.11	-1.8125	0.11	-1.8125
0.0111	-61.672	0.0111	-58.664	0.0111	-55.252	0.0111	-58.046	0.0111	-52.646		0.111	-1.8125	0.111	-1.8125	0.111	-1.8125	0.111	-1.8125	0.111	-1.8125
0.0112	-61.889	0.0112	-58.697	0.0112	-55.272	0.0112	-58.079	0.0112	-52.652		0.112	-1.8125	0.112	-1.8125	0.112	-1.8125	0.112	-1.8125	0.112	-1.8125
0.011300000000000001	-61.839	0.011300000000000001	-58.756	0.011300000000000001	-55.298	0.011300000000000001	-58.138	0.011300000000000001	-52.636		0.113	-1.8125	0.113	-1.8125	0.113	-1.8125	0.113	-1.8125	0.113	-1.8125
0.0114	-61.813	0.0114	-58.661	0.0114	-55.331	0.0114	-58.207	0.0114	-52.748		0.114	-1.8125	0.114	-1.8125	0.114	-1.8125	0.114	-1.8125	0.114	-1.8125
0.0115	-61.833	0.0115	-58.661	0.0115	-55.266	0.0115	-58.194	0.0115	-52.712		0.115	-1.8125	0.115	-1.8125	0.115	-1.8125	0.115	-1.8125	0.115	-1.8125
0.011600000000000001	-61.856	0.011600000000000001	-58.681	0.011600000000000001	-55.272	0.011600000000000001	-58.227	0.011600000000000001	-52.616		0.116	-1.8125	0.116	-1.8125	0.116	-1.8125	0.116	-1.8125	0.116	-1.8125
0.0117	-61.859	0.0117	-58.72	0.0117	-55.344	0.0117	-58.161	0.0117	-52.633		0.117	-1.8125	0.117	-1.8125	0.117	-1.8125	0.117	-1.8125	0.117	-1.8125
0.0118	-61.885	0.0118	-58.645	0.0118	-55.308	0.0118	-58.056	0.0118	-52.597		0.11800000000000001	-1.8125	0.11800000000000001	-1.8125	0.11800000000000001	-1.8125	0.11800000000000001	-1.8125	0.11800000000000001	-1.8125
